DATE,LFWA64TTUSM647S
1993-12-01,164980587.37855098
1994-01-01,165035231.529669
1994-02-01,165233869.51734
1994-03-01,165416329.338357
1994-04-01,165617001.10649002
1994-05-01,165702854.715761
1994-06-01,165838495.00029498
1994-07-01,165994596.257919
1994-08-01,166013202.480082
1994-09-01,166134215.576065
1994-10-01,166213182.303551
1994-11-01,166232347.945679
1994-12-01,166379572.38697198
1995-01-01,166390995.947783
1995-02-01,166519895.428876
1995-03-01,166671672.67098498
1995-04-01,166878597.953565
1995-05-01,166986030.979065
1995-06-01,167071073.069805
1995-07-01,167206826.758134
1995-08-01,167345038.718404
1995-09-01,167475775.653531
1995-10-01,167624430.233414
1995-11-01,167793067.243973
1995-12-01,167977853.874093
1996-01-01,167968441.62936598
1996-02-01,168104101.979812
1996-03-01,168298218.948051
1996-04-01,168519118.23156
1996-05-01,168629788.725769
1996-06-01,168763468.50101998
1996-07-01,168833709.06774002
1996-08-01,169003372.847043
1996-09-01,169247018.30445698
1996-10-01,169375638.560761
1996-11-01,169646935.708742
1996-12-01,169842146.666763
1997-01-01,170325596.111582
1997-02-01,170454923.022722
1997-03-01,170634627.22094798
1997-04-01,170755426.22103602
1997-05-01,170873479.12269002
1997-06-01,171075255.284102
1997-07-01,171192901.150895
1997-08-01,171332576.891118
1997-09-01,171520072.667022
1997-10-01,171676300.493267
1997-11-01,171823347.059585
1997-12-01,172027156.170587
1998-01-01,172109639.585359
1998-02-01,172291793.67902
1998-03-01,172397996.86901
1998-04-01,172493693.005969
1998-05-01,172711007.324238
1998-06-01,172920598.308289
1998-07-01,173107144.089756
1998-08-01,173284625.885192
1998-09-01,173438351.701627
1998-10-01,173557131.983087
1998-11-01,173714711.304251
1998-12-01,173885197.706272
1999-01-01,174348394.30919498
1999-02-01,174539542.186384
1999-03-01,174654801.62245
1999-04-01,174805391.90862298
1999-05-01,175016769.27985197
1999-06-01,175260295.714996
1999-07-01,175436832.03668702
1999-08-01,175602759.719091
1999-09-01,175725868.684553
1999-10-01,175961518.095321
1999-11-01,176046053.58362398
1999-12-01,176184332.891314
2000-01-01,178204599.243399
2000-02-01,178267341.60633302
2000-03-01,178376599.591546
2000-04-01,178519965.374269
2000-05-01,178786438.858987
2000-06-01,179050006.033023
2000-07-01,179397467.642427
2000-08-01,179429510.420067
2000-09-01,179633638.21129802
2000-10-01,179802423.06182498
2000-11-01,179917379.064374
2000-12-01,180063038.49652597
2001-01-01,180328863.956886
2001-02-01,180496523.22870198
2001-03-01,180594157.50118
2001-04-01,180855367.69622502
2001-05-01,180997422.685635
2001-06-01,181378253.11547202
2001-07-01,181579271.341036
2001-08-01,181879200.178153
2001-09-01,181976810.658533
2001-10-01,182269670.136442
